"id","incident_year","incident_month","incident_day","operator_id","operator","aircraft","aircraft_type","aircraft_make","aircraft_model","aircraft_mass","engine_make","engine_model","engines","engine_type","engine1_position","engine2_position","engine3_position","engine4_position","airport_id","airport","state","faa_region","flight_phase","visibility","precipitation","height","speed","distance","species_id","species_name","species_quantity","flight_impact","damaged"
23875,2013,10,21,"EGF","AMERICAN EAGLE AIRLINES","EMB-145","A","332",14,3,1,"10",2,"D",5,5,NA,NA,"KSGF","SPRINGFIELD-BRANSON NATIONAL","MO","ACE","APPROACH","NIGHT","NONE",3500,180,NA,"Z6014","HERMIT THRUSH","1","NONE",0
21732,2004,9,7,"NWA","NORTHWEST AIRLINES","DC-9-40","A","583",22,4,34,"10",2,"D",5,5,NA,NA,"KMCI","KANSAS CITY INTL","MO","ACE","APPROACH","NIGHT","NONE",1400,170,NA,"1C2","MICROBAT","2-10","NONE",0
1033,1993,11,2,"AAL","AMERICAN AIRLINES","MD-80","A","583",37,4,34,"10",2,"D",5,5,NA,NA,"KPHX","PHOENIX SKY HARBOR INTL ARPT","AZ","AWP","TAKEOFF RUN","DAY",NA,0,NA,0,"1F11","COYOTE","1",NA,0
1086,2009,7,7,"UNK","UNKNOWN","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KONT","ONTARIO INTL ARPT","CA","AWP",NA,NA,NA,NA,NA,0,"R1101","BARN OWL","1",NA,0
5602,2007,5,20,"AAL","AMERICAN AIRLINES","B-757-200","A","148",26,4,37,"37",2,"D",1,1,NA,NA,"TIST","CYRIL E KING ARPT","VI","ASO","LANDING ROLL","DAY","NONE",0,10,0,"UNKBS","UNKNOWN SMALL BIRD","2-10","NONE",0
4375,2015,3,2,"SWA","SOUTHWEST AIRLINES","B-737-700","A","148",42,4,10,"1",2,"D",1,1,NA,NA,"KPHX","PHOENIX SKY HARBOR INTL ARPT","AZ","AWP","LANDING ROLL","DAY","RAIN",0,NA,0,"O2205","MOURNING DOVE","1","NONE",0
20553,2000,3,13,"AAL","AMERICAN AIRLINES","FOKKER F100","A","372",12,4,37,"46",2,"D",5,5,NA,NA,"KMDT","HARRISBURG INTL","PA","AEA","APPROACH","NIGHT","NONE",600,135,NA,"NE1","GULL","1","NONE",0
5439,2014,7,22,"SWA","SOUTHWEST AIRLINES","B-737-300","A","148",24,4,10,"1",2,"D",1,1,NA,NA,"KPDX","PORTLAND INTL (OR)","OR","ANM","TAKEOFF RUN","DAY","NONE",0,150,0,"NE120","WESTERN GULL","1","NONE",0
15164,2010,3,28,"SWA","SOUTHWEST AIRLINES","B-737-700","A","148",42,4,10,"1",2,"D",1,1,NA,NA,"KMCO","ORLANDO INTL","FL","ASO","APPROACH","DAY","NONE",300,138,1,"UNKBM","UNKNOWN MEDIUM BIRD","1","NONE",0
8675,2003,1,6,"SWA","SOUTHWEST AIRLINES","B-737","A","148",95,4,NA,NA,2,"D",1,1,NA,NA,"KONT","ONTARIO INTL ARPT","CA","AWP","TAKEOFF RUN","DAY",NA,0,NA,0,"UNKBM","UNKNOWN MEDIUM BIRD","1",NA,0
18532,2014,4,15,"UNK","UNKNOWN","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KLGB","LONG BEACH-DAUGH FLD","CA","AWP",NA,NA,NA,NA,NA,0,"YL001","EUROPEAN STARLING","1",NA,0
12167,2001,6,8,"UPS","UPS AIRLINES","A-300","A","04A",1,4,34,"46",2,"D",1,1,NA,NA,"KEWR","NEWARK LIBERTY INTL ARPT","NJ","AEA","APPROACH","DAWN","NONE",150,136,NA,"J2204","CANADA GOOSE","2-10","NONE",1
10562,2013,9,1,"UNK","UNKNOWN","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KPHX","PHOENIX SKY HARBOR INTL ARPT","AZ","AWP",NA,NA,NA,NA,NA,0,"F1003","PIED-BILLED GREBE","1",NA,0
17669,2010,8,17,"BUS","BUSINESS","LEARJET-35","A","395",4,3,19,"1",2,"D",5,5,NA,NA,"KPHF","NEWPORT NEWS/WILLIAMSBURG INTL","VA","AEA","LANDING ROLL","DAY","NONE",0,NA,0,"O2205","MOURNING DOVE","1","NONE",0
26229,2014,8,14,"BUS","BUSINESS","DA-20 FALCON","A","300",3,3,34,"16",2,"D",5,5,NA,NA,"KFTW","FORT WORTH MEACHAM INTL ARPT","TX","ASW","LANDING ROLL","DAY","NONE",0,NA,0,"O2205","MOURNING DOVE","1","NONE",0
12102,2010,11,13,"AAL","AMERICAN AIRLINES","B-777-200","A","148",40,4,37,"55",2,"D",1,1,NA,NA,"SBGR","GUARULHOS INTL",NA,"FGN","CLIMB","NIGHT","NONE",500,170,NA,"UNKBM","UNKNOWN MEDIUM BIRD","1","NONE",0
27474,1991,1,30,"USA","1US AIRWAYS","DC-9","A","583",90,4,34,"10",2,"D",5,5,NA,NA,"KORF","NORFOLK INTL","VA","AEA","LANDING ROLL","DAY","NONE",0,130,0,"NE1","GULL","2-10","NONE",0
26738,2002,8,18,"BUS","BUSINESS","C-560","A","226",45,1,31,"1",2,"D",5,5,NA,NA,"ZZZZ","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,"UNKBM","UNKNOWN MEDIUM BIRD","1",NA,0
13098,2015,9,21,"UPS","UPS AIRLINES","B-757-200","A","148",26,4,37,"37",2,"D",1,1,NA,NA,"MPTO","TOCUMEN INTL",NA,"FGN","APPROACH","NIGHT",NA,5900,250,15,"UNKBL","UNKNOWN LARGE BIRD","1","NONE",0
3151,1991,4,17,"USA","1US AIRWAYS","B-737-400","A","148",32,4,10,"1",2,"D",1,1,NA,NA,"KABE","LEHIGH VALLEY INTL","PA","AEA","LANDING ROLL","DAY","NONE",0,120,0,"NE1","GULL","1",NA,0
1711,1997,9,25,"AAL","AMERICAN AIRLINES","MD-82","A","583",37,4,34,"10",2,"D",5,5,NA,NA,"KSAT","SAN ANTONIO INTL","TX","ASW","APPROACH","DAY",NA,700,140,NA,"UNKBS","UNKNOWN SMALL BIRD","1","NONE",0
20523,2001,6,26,"AAL","AMERICAN AIRLINES","MD-82","A","583",37,4,34,"10",2,"D",5,5,NA,NA,"KOAK","METRO OAKLAND INTL","CA","AWP","CLIMB","DAY","NONE",700,160,NA,"YI","SWALLOW","1","NONE",0
16364,1994,5,28,"PVT","PRIVATELY OWNED","C-150","A","226",5,1,7,"7",1,"A",7,NA,NA,NA,"KHEF","MANASSAS REGNL ARPT/HARRY P. DAVIS FIELD","VA","AEA","APPROACH","DAY","NONE",40,65,NA,"ZT1","BLACKBIRD","1","NONE",0
3284,2011,11,5,"BUS","BUSINESS","C-172","A","226",7,1,7,"10",1,"A",7,NA,NA,NA,"KFXE","FORT LAUDERDALE EXECUTIVE ARPT","FL","ASO","CLIMB",NA,"NONE",1000,100,NA,"K1002","TURKEY VULTURE","1","PRECAUTIONARY LANDING",0
1868,2005,2,8,"UAL","UNITED AIRLINES","B-757-200","A","148",26,4,34,"40",2,"D",1,1,NA,NA,"ZZZZ","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,"UNKBM","UNKNOWN MEDIUM BIRD","1",NA,0
129,2011,10,5,"SWA","SOUTHWEST AIRLINES","B-737-700","A","148",42,4,10,"1",2,"D",1,1,NA,NA,"KDEN","DENVER INTL AIRPORT","CO","ANM","CLIMB","NIGHT","NONE",1000,170,NA,"UNKBS","UNKNOWN SMALL BIRD","1","NONE",0
22623,2012,10,11,"SWA","SOUTHWEST AIRLINES","B-737","A","148",95,4,NA,NA,2,"D",1,1,NA,NA,"ZZZZ","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,"ZT001","EASTERN MEADOWLARK","1",NA,0
14165,2007,10,19,"SWA","SOUTHWEST AIRLINES","B-737-700","A","148",42,4,10,"1",2,"D",1,1,NA,NA,"KLAX","LOS ANGELES INTL","CA","AWP","CLIMB","DAWN","NONE",500,190,NA,"UNKBM","UNKNOWN MEDIUM BIRD","1","NONE",0
20766,2004,11,5,"MIL","MILITARY","C-130H","A","561",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KCHS","CHARLESTON AFB/INTL ARPT","SC","ASO","APPROACH","NIGHT",NA,2000,NA,NA,"ZS","WOOD WARBLER",NA,"PRECAUTIONARY LANDING",0
21381,2007,8,30,"MIL","MILITARY","C-130H","A","561",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KSTJ","ROSECRANS MEMORIAL ARPT","MO","ACE","LANDING ROLL","DAY",NA,NA,100,NA,"UNKBM","UNKNOWN MEDIUM BIRD",NA,NA,0
23736,1996,11,10,"NKS","SPIRIT AIRLINES","DC-9-40","A","583",22,4,34,"10",2,"D",5,5,NA,NA,"KACY","ATLANTIC CITY INTL","NJ","AEA","APPROACH","DAY","NONE",350,135,NA,"NE1","GULL","1","NONE",0
29266,2004,7,14,"COM","COMAIR AIRLINES","CRJ100/200","A","188",10,3,22,"4",2,"D",5,5,NA,NA,"KCVG","CINCINNATI/NORTHERN KENTUCKY INTL ARPT","KY","ASO","LANDING ROLL","DAY","NONE",0,NA,0,"YI005","BARN SWALLOW","1",NA,0
6557,2002,9,23,"UAL","UNITED AIRLINES","B-737-300","A","148",24,4,10,"1",2,"D",1,1,NA,NA,"ZZZZ","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,"UNKBM","UNKNOWN MEDIUM BIRD","1",NA,1
1587,1998,7,21,"DAL","DELTA AIR LINES","B-727","A","148",94,4,34,"10",3,"D",5,6,"5",NA,"KATL","HARTSFIELD - JACKSON ATLANTA INTL ARPT","GA","ASO",NA,NA,NA,NA,NA,NA,"UNKBM","UNKNOWN MEDIUM BIRD","1",NA,0
6544,2015,8,15,"RPA","REPUBLIC AIRLINES","DHC8 DASH 8","A","303",10,3,31,"10",2,"C",4,4,NA,NA,"KASE","ASPEN-PITKIN COUNTY ARPT/SARDY FIELD","CO","ANM","APPROACH","DAY",NA,NA,NA,NA,"YM4","MAGPIES","1","NONE",0
11172,2013,3,8,"NKS","SPIRIT AIRLINES","A-320","A","04A",3,4,23,"1",2,"D",1,1,NA,NA,"KRSW","SOUTHWEST FLORIDA INTL ARPT","FL","ASO","LANDING ROLL","DAY","NONE",0,NA,0,"UNKBS","UNKNOWN SMALL BIRD","1","NONE",0
283,2003,10,2,"MIL","MILITARY","C-130H","A","561",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KYNG","YOUNGSTOWN-WARREN RGNL ARPT","OH","AGL","APPROACH","NIGHT","NONE",1000,140,NA,"UNKBM","UNKNOWN MEDIUM BIRD","1","NONE",0
21053,2015,5,1,"UNK","UNKNOWN","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KFTW","FORT WORTH MEACHAM INTL ARPT","TX","ASW",NA,NA,NA,NA,NA,0,"2A","TURTLE","1",NA,0
7083,1992,4,21,"AAL","AMERICAN AIRLINES","B-727","A","148",10,4,34,"10",3,"D",5,6,"5",NA,"KDFW","DALLAS/FORT WORTH INTL ARPT","TX","ASW","APPROACH","DAY","NONE",300,140,NA,"UNKBL","UNKNOWN LARGE BIRD","1","NONE",0
25446,2015,7,17,"DAL","DELTA AIR LINES","B-717-200","A","148",45,4,9,"6",2,"D",5,5,NA,NA,"KGSP","GREENVILLE-SPARTANBURG INTL","SC","ASO","TAKEOFF RUN","DAY","NONE",0,NA,0,"N5111","KILLDEER","1","NONE",0
5392,2003,7,23,"EGF","AMERICAN EAGLE AIRLINES","SAAB-340","A","778",5,3,22,"22",2,"C",4,4,NA,NA,"KSHV","SHREVEPORT REGIONAL","LA","ASW","CLIMB","DAWN","NONE",20,130,NA,"O2205","MOURNING DOVE","2-10","NONE",0
17049,2014,11,4,"AWI","AIR WISCONSIN AIRLINES","CRJ100/200","A","188",10,3,22,"4",2,"D",5,5,NA,NA,"KBOS","GENERAL EDWARD LAWRENCE LOGAN INTL ARPT","MA","ANE","DEPARTURE","DAY",NA,NA,NA,0,"UNKB","UNKNOWN BIRD","1",NA,0
11895,2015,5,22,"AAL","AMERICAN AIRLINES","B-737-800","A","148",43,4,10,"1",2,"D",1,1,NA,NA,"KORD","CHICAGO O'HARE INTL ARPT","IL","AGL","TAKEOFF RUN","DAY","NONE",0,NA,0,"YH004","HORNED LARK","1","NONE",0
21115,1993,9,29,"AAL","AMERICAN AIRLINES","ATR-72","A","97",2,3,31,"10",2,"C",4,4,NA,NA,"KORD","CHICAGO O'HARE INTL ARPT","IL","AGL","APPROACH","DAY","NONE",50,100,NA,"UNKBL","UNKNOWN LARGE BIRD","1","NONE",0
706,2000,8,16,"BLR","ATLANTIC COAST AIRLINES","BA-31 JETSTR","A","168",3,2,19,"4",2,"C",4,4,NA,NA,"ZZZZ","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,"UNKBM","UNKNOWN MEDIUM BIRD","1",NA,0
15890,2013,6,24,"UNK","UNKNOWN","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KJFK","JOHN F KENNEDY INTL","NY","AEA",NA,NA,NA,NA,NA,0,"1E+052","MUSKRAT","1",NA,0
19941,1994,3,23,"MRA","MARTINAIRE","C-208","A","226",42,2,31,"4",1,"C",7,NA,NA,NA,"KLCH","LAKE CHARLES REGIONAL","LA","ASW","CLIMB","DAY",NA,2000,NA,2,"UNKBM","UNKNOWN MEDIUM BIRD","1","PRECAUTIONARY LANDING",1
13535,2003,9,19,"UNK","UNKNOWN","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KHGR","HAGERSTOWN REGNL ARPT-RICHARD A HENSON FIELD","MD","AEA",NA,NA,NA,NA,NA,0,"N5111","KILLDEER","1",NA,0
3805,2011,9,26,"UNK","UNKNOWN","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KORD","CHICAGO O'HARE INTL ARPT","IL","AGL",NA,NA,NA,NA,NA,0,"K3302","RED-TAILED HAWK","1",NA,0
10035,2014,8,15,"UNK","UNKNOWN","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KCMH","PORT COLUMBUS INTL","OH","AGL",NA,NA,NA,NA,NA,0,"YI005","BARN SWALLOW","1",NA,0
11178,2009,12,31,"MIL","MILITARY","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KBDL","BRADLEY INTL","CT","ANE","LANDING","DAY",NA,NA,NA,NA,"YH004","HORNED LARK",NA,NA,0
25903,1993,6,6,"AAL","AMERICAN AIRLINES","MD-80","A","583",37,4,34,"10",2,"D",5,5,NA,NA,"KPDX","PORTLAND INTL (OR)","OR","ANM","APPROACH","DAY",NA,NA,NA,NA,"UNKBS","UNKNOWN SMALL BIRD","1","NONE",0
7139,2015,6,23,"UNK","UNKNOWN","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KAGS","AUGUSTA REGIONAL ARPT AT BUSH FLD","GA","ASO",NA,NA,NA,NA,NA,0,"YI","SWALLOW","1",NA,0
8038,1995,5,15,"SWA","SOUTHWEST AIRLINES","B-737-300","A","148",24,4,10,"1",2,"D",1,1,NA,NA,"KIAH","GEORGE BUSH INTERCONTINENTAL/ HOUSTON ARPT","TX","ASW","APPROACH","DAY","NONE",4000,210,NA,"ZT1","BLACKBIRD","1","NONE",0
22734,1991,9,3,"MIL","MILITARY","C-5","A","561",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KSGF","SPRINGFIELD-BRANSON NATIONAL","MO","ACE","APPROACH","DAY",NA,1800,200,NA,"UNKBM","UNKNOWN MEDIUM BIRD","1",NA,0
21322,2005,9,8,"UPS","UPS AIRLINES","DC-8-70","A","583",38,4,10,"1",4,"D",1,1,"1",4,"KMKE","GENERAL MITCHELL INTL","WI","AGL","APPROACH",NA,"NONE",3000,180,NA,"UNKBL","UNKNOWN LARGE BIRD","1","NONE",0
3778,1998,10,28,"USA","1US AIRWAYS","B-737","A","148",95,4,NA,NA,2,"D",1,1,NA,NA,"KMYR","MYRTLE BEACH INTL","SC","ASO","TAKEOFF RUN","DAY","NONE",0,NA,0,"UNKBM","UNKNOWN MEDIUM BIRD","2-10","NONE",0
18035,2002,1,9,"UAL","UNITED AIRLINES","A-320","A","04A",3,4,23,"1",2,"D",1,1,NA,NA,"KPVD","THEODORE FRANCIS GREEN STATE","RI","ANE","TAKEOFF RUN","DAWN","NONE",0,100,0,"ZX3","SPARROW","2-10","NONE",0
16027,2008,10,30,"AWE","US AIRWAYS","EMB-190","A","332",NA,4,22,"4",2,"D",1,1,NA,NA,"KPHL","PHILADELPHIA INTL","PA","AEA","CLIMB","NIGHT","NONE",3000,250,NA,"UNKBM","UNKNOWN MEDIUM BIRD","1","NONE",0
5175,2007,5,1,"SWA","SOUTHWEST AIRLINES","B-737-700","A","148",42,4,10,"1",2,"D",1,1,NA,NA,"KBWI","BALTIMORE/WASH INTL THURGOOD MARSHAL ARPT","MD","AEA","APPROACH","NIGHT","NONE",200,200,NA,"UNKBS","UNKNOWN SMALL BIRD","1","NONE",0
20694,2008,3,30,"NWA","NORTHWEST AIRLINES","A-320","A","04A",3,4,10,"1",2,"D",1,1,NA,NA,"KMSP","MINNEAPOLIS-ST PAUL INTL/WOLD-CHAMBERLAIN ARPT","MN","AGL","APPROACH",NA,NA,NA,NA,NA,"J22","GEESE","1",NA,1
17397,1992,4,21,"SYM","SIMMONS AVIATN","SHORTS 360","A","804",8,3,31,"4",2,"C",4,4,NA,NA,"KORD","CHICAGO O'HARE INTL ARPT","IL","AGL","CLIMB","DAY","NONE",600,NA,NA,"UNKBS","UNKNOWN SMALL BIRD","2-10","PRECAUTIONARY LANDING",0
426,2000,7,30,"USA","1US AIRWAYS","B-737","A","148",95,4,NA,NA,2,"D",1,1,NA,NA,"KILM","WILMINGTON INTL","NC","ASO","CLIMB","DAY","NONE",200,150,NA,"Z6007","AMERICAN ROBIN","1","NONE",0
443,2014,10,17,"AAL","AMERICAN AIRLINES","MD-82","A","583",37,4,34,"10",2,"D",5,5,NA,NA,"KMCI","KANSAS CITY INTL","MO","ACE","APPROACH","NIGHT","NONE",1000,124,2.5,"M7005","AMERICAN COOT","1","NONE",1
15227,2012,9,19,"BUS","BUSINESS","CRJ100/200","A","188",10,3,22,"4",2,"D",5,5,NA,NA,"KHPN","WESTCHESTER COUNTY ARPT","NY","AEA","APPROACH","NIGHT","NONE",3000,250,15,"UNKBS","UNKNOWN SMALL BIRD","2-10","NONE",0
13937,1991,10,9,"AAL","AMERICAN AIRLINES","B-727-200","A","148",11,4,34,"10",3,"D",5,6,"5",NA,"KDFW","DALLAS/FORT WORTH INTL ARPT","TX","ASW","CLIMB","DAY","NONE",1000,170,NA,"UNKBS","UNKNOWN SMALL BIRD","1","NONE",0
24241,2001,7,23,"AAL","AMERICAN AIRLINES","MD-80","A","583",37,4,34,"10",2,"D",5,5,NA,NA,"KDEN","DENVER INTL AIRPORT","CO","ANM","TAKEOFF RUN","DAY",NA,0,NA,0,"UNKBS","UNKNOWN SMALL BIRD","1",NA,0
14508,2014,9,2,"UNK","UNKNOWN","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KRIC","RICHMOND INTL","VA","AEA",NA,NA,NA,NA,NA,0,"O2205","MOURNING DOVE","1",NA,0
4962,2012,3,17,"UNK","UNKNOWN","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KROA","ROANOKE REGNL ARPT/WOODRUM FIELD","VA","AEA",NA,NA,NA,NA,NA,0,"YL001","EUROPEAN STARLING","1",NA,0
25971,1999,5,10,"UAL","UNITED AIRLINES","B-747-400","A","148",34,5,34,"46",4,"D",1,1,"1",1,"NZAA","AUCKLAND INTL",NA,"FGN",NA,NA,NA,NA,NA,NA,"UNKBM","UNKNOWN MEDIUM BIRD","1",NA,0
23090,2008,2,9,"GOV","GOVERNMENT","LOCKHEED P3","A","561",26,4,1,NA,4,"C",4,4,"4",4,"KPDX","PORTLAND INTL (OR)","OR","ANM","CLIMB","DAY","NONE",100,NA,NA,"J2106","GREEN-WINGED TEAL","2-10","NONE",1
17247,1993,6,21,"SWA","SOUTHWEST AIRLINES","B-737","A","148",95,4,NA,NA,2,"D",1,1,NA,NA,"KBUR","BOB HOPE ARPT","CA","AWP","LANDING ROLL","DAY","NONE",0,120,0,"ZX3","SPARROW","1","NONE",0
3577,1995,10,7,"USA","1US AIRWAYS","B-737-300","A","148",24,4,10,"1",2,"D",1,1,NA,NA,"KBNA","NASHVILLE INTL","TN","ASO","APPROACH","NIGHT","NONE",3000,200,NA,"UNKBM","UNKNOWN MEDIUM BIRD","1","NONE",0
13755,1999,7,4,"AAL","AMERICAN AIRLINES","B-757-200","A","148",26,4,37,"37",2,"D",1,1,NA,NA,"KSJC","NORMAN Y. MINETA SAN JOSE INTL ARPT","CA","AWP","LANDING ROLL","DAY","NONE",0,NA,0,"UNKBS","UNKNOWN SMALL BIRD","1","NONE",0
14621,2004,9,11,"MIL","MILITARY","C-17A","A","148",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KPIT","PITTSBURGH INTL ARPT","PA","AEA","CLIMB","DAY",NA,1000,NA,NA,"UNKBM","UNKNOWN MEDIUM BIRD",NA,"NONE",0
16697,2007,8,10,"UAL","UNITED AIRLINES","A-320","A","04A",3,4,23,"1",2,"D",1,1,NA,NA,"KLAS","MC CARRAN INTL ARPT","NV","AWP","APPROACH","DAY",NA,6500,NA,NA,"UNKBM","UNKNOWN MEDIUM BIRD","1",NA,0
14396,1993,7,15,"MSS","MORRIS AIR SERVICE","B-737","A","148",95,4,NA,NA,2,"D",1,1,NA,NA,"KPDX","PORTLAND INTL (OR)","OR","ANM","LANDING ROLL","DAY",NA,0,NA,0,"UNKBM","UNKNOWN MEDIUM BIRD","1","NONE",0
25429,2014,10,23,"UNK","UNKNOWN","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KPHX","PHOENIX SKY HARBOR INTL ARPT","AZ","AWP",NA,NA,NA,NA,NA,0,"M7005","AMERICAN COOT","1",NA,0
478,2014,7,14,"UNK","UNKNOWN","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KHSV","HUNTSVILLE INTL ARPT-CARL T JONES FIELD","AL","ASO",NA,NA,NA,NA,NA,0,"YI005","BARN SWALLOW","1",NA,0
18687,2014,8,18,"FLG","ENDEAVOR AIR","CRJ100/200","A","188",10,3,22,"4",2,"D",5,5,NA,NA,"KMSP","MINNEAPOLIS-ST PAUL INTL/WOLD-CHAMBERLAIN ARPT","MN","AGL","DESCENT","DAY",NA,10000,NA,8,"N6017","PECTORAL SANDPIPER","2-10",NA,0
25598,2001,2,27,"AAL","AMERICAN AIRLINES","B-777-200","A","148",40,4,37,"55",2,"D",1,1,NA,NA,"KDFW","DALLAS/FORT WORTH INTL ARPT","TX","ASW","TAKEOFF RUN","DAY",NA,0,NA,0,"UNKBM","UNKNOWN MEDIUM BIRD","1",NA,0
7310,2013,6,14,"UNK","UNKNOWN","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KMCI","KANSAS CITY INTL","MO","ACE",NA,NA,NA,NA,NA,0,"YL001","EUROPEAN STARLING","1",NA,0
9270,1995,11,8,"UNK","UNKNOWN","HAWKER 800","A","168",8,3,19,"1",2,"D",5,5,NA,NA,"KORD","CHICAGO O'HARE INTL ARPT","IL","AGL","APPROACH","DAY",NA,3000,NA,NA,"J2204","CANADA GOOSE","1","NONE",0
14378,2002,9,9,"UNK","UNKNOWN","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KCMH","PORT COLUMBUS INTL","OH","AGL",NA,NA,NA,NA,NA,0,"O2205","MOURNING DOVE","2-10",NA,0
3948,1990,9,7,"UNKC","UNKNOWN COMMERCIAL","DC-9","A","583",90,4,34,"10",2,"D",5,5,NA,NA,"KAGS","AUGUSTA REGIONAL ARPT AT BUSH FLD","GA","ASO","LANDING ROLL","DAY","FOG",0,100,0,"UNKBS","UNKNOWN SMALL BIRD","2-10",NA,0
10136,2010,7,21,"JIA","PSA AIRLINES","CRJ100/200","A","188",10,3,22,"4",2,"D",5,5,NA,NA,"KCLT","CHARLOTTE/DOUGLAS INTL ARPT","NC","ASO","APPROACH","DAY","NONE",300,200,NA,"UNKBM","UNKNOWN MEDIUM BIRD","1","NONE",0
